
2021-03-21 17:31:53.048157 :  Searching vocabulary <<guessing game>> at 137 - read_vocabulary_to_search - /Users/truongthuan/Develop/python/blog/dictionary/search.py
2021-03-21 17:32:07.597900 :  saved file guessing-game+noun+us.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:32:11.691942 :  saved file guessing-game+noun+uk.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:32:22.656781 :  saved file guessing-game+noun+us.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:32:24.736828 :  saved file guessing-game+noun+uk.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:32:35.143268 :  saved file guessing-game+noun+us.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:32:41.289764 :  saved file guessing-game+noun+uk.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:32:46.308192 :  saved file guessing-game+noun+us.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:32:51.017045 :  saved file guessing-game+noun+uk.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:33:02.557845 :  Searching vocabulary <<guessing game>> at 137 - read_vocabulary_to_search - /Users/truongthuan/Develop/python/blog/dictionary/search.py
2021-03-21 17:33:13.652287 :  saved file guessing-game+noun+us.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:33:15.901126 :  saved file guessing-game+noun+uk.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:33:37.509051 :  saved file guessing-game+noun+us.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:34:50.477517 :  Searching vocabulary <<guessing game>> at 139 - read_vocabulary_to_search - /Users/truongthuan/Develop/python/blog/dictionary/search.py
2021-03-21 17:35:05.116576 :  saved file guessing-game+noun+us.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:35:09.565979 :  saved file guessing-game+noun+uk.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:35:09.600839 :  Saved <guessing-game> successfully. at 37 - searchVocabulary - /Users/truongthuan/Develop/python/blog/dictionary/search.py
2021-03-21 17:35:13.970100 :  saved file guess+verb+us.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:35:16.221400 :  saved file guess+verb+uk.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:35:16.226686 :  save vocabulary <<guess>> type:<<verb>> successfully at 250 - get_nearby_word_links - /Users/truongthuan/Develop/python/blog/dictionary/searchbase.py
2021-03-21 17:39:18.463287 :  Searching vocabulary <<guessing game>> at 139 - read_vocabulary_to_search - /Users/truongthuan/Develop/python/blog/dictionary/search.py
2021-03-21 17:40:05.776711 :  error: HTTPSConnectionPool(host='www.oxfordlearnersdictionaries.com', port=443): Max retries exceeded with url: /media/english/us_pron/g/gue/guess/guessing_game_1_us_1.mp3 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x10e4ab580>, 'Connection to 112.78.186.196 timed out. (connect timeout=17)')) at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:40:11.824704 :  saved file guessing-game+noun+us.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:40:16.917233 :  Searching vocabulary <<guessing game>> at 139 - read_vocabulary_to_search - /Users/truongthuan/Develop/python/blog/dictionary/search.py
2021-03-21 17:44:05.898935 :  Searching vocabulary <<guessing game>> at 139 - read_vocabulary_to_search - /Users/truongthuan/Develop/python/blog/dictionary/search.py
2021-03-21 17:44:35.328568 :  saved file guessing-game+noun+us.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:44:37.890176 :  saved file guessing-game+noun+uk.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:44:47.202822 :  saved file guessing-game+noun+us.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:44:48.323968 :  saved file guessing-game+noun+uk.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:44:53.453938 :  saved file guessing-game+noun+us.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:44:56.021893 :  saved file guessing-game+noun+uk.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:45:07.073787 :  saved file guessing-game+noun+us.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:45:12.403993 :  saved file guessing-game+noun+uk.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:45:15.737699 :  saved file guessing-game+noun+us.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:45:16.792144 :  saved file guessing-game+noun+uk.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:45:25.298691 :  saved file guessing-game+noun+us.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:45:28.781563 :  saved file guessing-game+noun+uk.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:45:33.490136 :  saved file guessing-game+noun+us.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:45:39.326700 :  saved file guessing-game+noun+uk.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:46:54.636272 :  Searching vocabulary <<guessing game>> at 139 - read_vocabulary_to_search - /Users/truongthuan/Develop/python/blog/dictionary/search.py
2021-03-21 17:47:03.499235 :  saved file guessing-game+noun+us.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:47:12.818673 :  saved file guessing-game+noun+uk.mp3 at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:47:12.836180 :  Saved <guessing-game> successfully. at 37 - searchVocabulary - /Users/truongthuan/Develop/python/blog/dictionary/search.py
2021-03-21 17:47:30.211734 :  error: HTTPSConnectionPool(host='www.oxfordlearnersdictionaries.com', port=443): Max retries exceeded with url: /media/english/us_pron/g/gue/guess/guess__us_1.mp3 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x10df1ef40>, 'Connection to 207.157.220.8 timed out. (connect timeout=17)')) at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
2021-03-21 17:47:47.225400 :  error: HTTPSConnectionPool(host='www.oxfordlearnersdictionaries.com', port=443): Max retries exceeded with url: /media/english/us_pron/g/gue/guess/guess__us_1.mp3 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x10df29730>, 'Connection to 207.157.220.8 timed out. (connect timeout=17)')) at 56 - downloadFileFromUrl - /Users/truongthuan/Develop/python/blog/dictionary/helper.py
